Name,Address,City,State,Website,Phone Number,Category,Source
Maison Jar,"566, Leonard, St, Brooklyn, NY, 11222",Brooklyn,NY,https://www.google.com/search?q=Maison Jar,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Precycle,"50, Cypress, Ave, Brooklyn, NY, 11237",Brooklyn,NY,https://www.google.com/search?q=Precycle,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
4th Street Food Co-Op,"58, 4th, St, New York, NY, 10003",New York,NY,https://www.google.com/search?q=4th Street Food Co-Op,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Remedies Herb Shop,"453, Court, St, Brooklyn, NY, 11231",Brooklyn,NY,https://www.google.com/search?q=Remedies Herb Shop,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Sahadi's,"187, Atlantic, Ave, Brooklyn, NY, 11201",Brooklyn,NY,https://www.google.com/search?q=Sahadi's,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Package Free,"25, Bond, St, New York, NY, 10012",New York,NY,https://www.google.com/search?q=Package Free,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Manymoons,"119, Chambers, St, New York, NY, 10007",New York,NY,https://www.google.com/search?q=Manymoons,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
La Nature Store,"233, 5th, Ave, Brooklyn, NY, 11215",Brooklyn,NY,https://www.google.com/search?q=La Nature Store,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Dépanneur,"242, Wythe, Ave, Brooklyn, NY, 11249",Brooklyn,NY,https://www.google.com/search?q=Dépanneur,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Brooklyn Fare,"431, 37th, St, New York, NY, 10018",New York,NY,https://www.google.com/search?q=Brooklyn Fare,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
DiaperKind - Cloth Diaper Service,"126, 13th, St, Brooklyn, NY, 11215",Brooklyn,NY,https://www.google.com/search?q=DiaperKind - Cloth Diaper Service,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Annie's Blue Ribbon General Store,"232, 5th, Ave, Brooklyn, NY, 11215",Brooklyn,NY,https://www.google.com/search?q=Annie's Blue Ribbon General Store,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
IXV coffee,"497c, Pacific, St, Brooklyn, NY, 11217",Brooklyn,NY,https://www.google.com/search?q=IXV coffee,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Precycle,"50, Cypress, Ave, Brooklyn, NY, 11237",Brooklyn,NY,https://www.google.com/search?q=Precycle,,NYC - Zero Waste and Reuse Stores,Circular NYC.kml
Sarmiento Electronics LLC,"135, 238th, St, The Bronx, NY, 10463",The Bronx,NY,https://www.google.com/search?q=Sarmiento Electronics LLC,+1 347-843-7272,NYC -  Electronics Repair Stores,Circular NYC.kml
Morris Park Electronic Repairs,"1054, Morris Park, Ave, The Bronx, NY, 10461",The Bronx,NY,https://www.google.com/search?q=Morris Park Electronic Repairs,+1 347-281-5161,NYC -  Electronics Repair Stores,Circular NYC.kml
King Electronics,"4374, White Plains, Rd, The Bronx, NY, 10466",The Bronx,NY,http://www.kingelectronics.com/,+1 347-202-4666,NYC -  Electronics Repair Stores,Circular NYC.kml
NYTechnology,"556, Morris, Ave, The Bronx, NY, 10451",The Bronx,NY,http://www.nytechnology.online/,+1 718-993-7200,NYC -  Electronics Repair Stores,Circular NYC.kml
N.J. Electronics,"533, 138th, St, The Bronx, NY, 10454",The Bronx,NY,https://www.google.com/search?q=N.J. Electronics,+1 718-585-6511,NYC -  Electronics Repair Stores,Circular NYC.kml
Cyber Electronics,"597, 138th, St, The Bronx, NY, 10454",The Bronx,NY,https://www.google.com/search?q=Cyber Electronics,+1 347-498-1480,NYC -  Electronics Repair Stores,Circular NYC.kml
Best Deal Electronics & Repair Center,"1007, Southern, Blvd, The Bronx, NY, 10459",The Bronx,NY,https://www.google.com/search?q=Best Deal Electronics & Repair Center,+1 718-975-0378,NYC -  Electronics Repair Stores,Circular NYC.kml
Rolando's TV & Electronics,"1208, Southern, Blvd, The Bronx, NY, 10459",The Bronx,NY,https://www.google.com/search?q=Rolando's TV & Electronics,+1 718-542-0700,NYC -  Electronics Repair Stores,Circular NYC.kml
Brian's Electronics Repair and Installation,"2420, Morris, Ave, The Bronx, NY, 10468",The Bronx,NY,https://brians-electronics-repair-and-installation.business.site/,+1 347-699-2519,NYC -  Electronics Repair Stores,Circular NYC.kml
Y H Group,"755, Allerton, Ave, The Bronx, NY, 10467",The Bronx,NY,https://www.google.com/search?q=Y H Group,+1 347-202-4880,NYC -  Electronics Repair Stores,Circular NYC.kml
Lycamobile Electronics Repair Zone Inc,"1278A, Pugsley, Ave, The Bronx, NY, 10462",The Bronx,NY,https://www.google.com/search?q=Lycamobile Electronics Repair Zone Inc,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Bonanza Electronics,"54, 170th, St, The Bronx, NY, 10452",The Bronx,NY,https://www.google.com/search?q=Bonanza Electronics,+1 718-293-2556,NYC -  Electronics Repair Stores,Circular NYC.kml
Dary & Son Electronics NYC,"165, 170th, St, The Bronx, NY, 10452",The Bronx,NY,http://daryelectronics.com/,+1 917-645-4896,NYC -  Electronics Repair Stores,Circular NYC.kml
Bronx Speaker & Electronics,"3382, Boston, Rd, The Bronx, NY, 10469",The Bronx,NY,https://www.google.com/search?q=Bronx Speaker & Electronics,+1 718-515-9213,NYC -  Electronics Repair Stores,Circular NYC.kml
CompuTech Solutions,"3782, 3rd, Ave., The Bronx, NY, 10456",The Bronx,NY,https://computech-solutions-electronics-repair-shop.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,+1 347-820-7373,NYC -  Electronics Repair Stores,Circular NYC.kml
rapid wireless2,"1515, Watson, Ave, The Bronx, NY, 10472",The Bronx,NY,https://www.google.com/search?q=rapid wireless2,+1 718-893-0693,NYC -  Electronics Repair Stores,Circular NYC.kml
Midway Electronics,"4371, 3rd, Ave., The Bronx, NY, 10457",The Bronx,NY,https://www.google.com/search?q=Midway Electronics,+1 718-365-9930,NYC -  Electronics Repair Stores,Circular NYC.kml
Sam Mobile Tech,"3411, White Plains, Rd, The Bronx, NY, 10467",The Bronx,NY,https://www.google.com/search?q=Sam Mobile Tech,+1 855-965-8324,NYC -  Electronics Repair Stores,Circular NYC.kml
Mom and Pop Electronics,"3481, Boston, Rd, The Bronx, NY, 10469",The Bronx,NY,https://www.google.com/search?q=Mom and Pop Electronics,+1 347-843-7694,NYC -  Electronics Repair Stores,Circular NYC.kml
Bronx iphone repair I Can Fix it if You Break it,"530, 136th, St, The Bronx, NY, 10454",The Bronx,NY,https://i-can-fix-it-if-you-break-it.business.site/,+1 929-408-9585,NYC -  Electronics Repair Stores,Circular NYC.kml
Cellphone Doc. 149 st,"393, 149th, St, The Bronx, NY, 10455",The Bronx,NY,https://cellphone-doctor-repair-phone-computer-tablets.business.site/%3Fm%3Dtrue,+1 347-837-7202,NYC -  Electronics Repair Stores,Circular NYC.kml
1800Fix.com,"2853, 3rd, Ave., The Bronx, NY, 10455",The Bronx,NY,http://1800fix.com/,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
One Touch Eletronics,"757, Tremont, Ave, The Bronx, NY, 10457",The Bronx,NY,https://www.google.com/search?q=One Touch Eletronics,+1 718-684-1448,NYC -  Electronics Repair Stores,Circular NYC.kml
Geek Squad,"171, 230th, St, The Bronx, NY, 10463",The Bronx,NY,https://www.google.com/search?q=Geek Squad,+1 718-530-7720,NYC -  Electronics Repair Stores,Circular NYC.kml
MD Broadway Electronics,"1888, Jerome, Ave, The Bronx, NY, 10453",The Bronx,NY,https://www.google.com/search?q=MD Broadway Electronics,+1 917-645-4480,NYC -  Electronics Repair Stores,Circular NYC.kml
Bobby's TV & Radio Shop,"450, Tremont, Ave, The Bronx, NY, 10457",The Bronx,NY,https://www.google.com/search?q=Bobby's TV & Radio Shop,+1 718-731-9728,NYC -  Electronics Repair Stores,Circular NYC.kml
doctors tv service inc,"1768, 172nd, St, The Bronx, NY, 10472",The Bronx,NY,https://www.google.com/search?q=doctors tv service inc,+1 718-823-6902,NYC -  Electronics Repair Stores,Circular NYC.kml
JD Tech Solutions,"3120, Bainbridge, Ave, The Bronx, NY, 10467",The Bronx,NY,https://www.google.com/search?q=JD Tech Solutions,+1 347-913-4344,NYC -  Electronics Repair Stores,Circular NYC.kml
170 jerome electronics,"10, 170th, St, The Bronx, NY, 10452",The Bronx,NY,https://www.google.com/search?q=170 jerome electronics,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Quik Fix Electronics,"3376, Boston, Rd, The Bronx, NY, 10469",The Bronx,NY,https://www.google.com/search?q=Quik Fix Electronics,+1 718-882-2734,NYC -  Electronics Repair Stores,Circular NYC.kml
Izzy's Wireless Cell Phone Repair,"3003, Westchester, Ave, The Bronx, NY, 10461",The Bronx,NY,https://www.google.com/search?q=Izzy's Wireless Cell Phone Repair,+1 718-483-8726,NYC -  Electronics Repair Stores,Circular NYC.kml
"Computer Settings, Security Cameras, Computer Repair, iPhone iPad Screen Video Game","2246, Grand, Concourse, The Bronx, NY, 10457",The Bronx,NY,https://compusettings.com/,+1 718-584-2600,NYC -  Electronics Repair Stores,Circular NYC.kml
We Fix Your Device,"689, Tremont, Ave, The Bronx, NY, 10453",The Bronx,NY,https://www.google.com/search?q=We Fix Your Device,+1 718-872-7763,NYC -  Electronics Repair Stores,Circular NYC.kml
JAM Electronic,"946, Southern, Blvd, The Bronx, NY, 10459",The Bronx,NY,https://www.google.com/search?q=JAM Electronic,+1 718-991-1109,NYC -  Electronics Repair Stores,Circular NYC.kml
Next Level Electronics Inc.,"259, 167th, St, The Bronx, NY, 10456",The Bronx,NY,https://www.google.com/search?q=Next Level Electronics Inc.,+1 718-410-8200,NYC -  Electronics Repair Stores,Circular NYC.kml
Geek Squad,"402, Fordham, Rd, The Bronx, NY, 10458",The Bronx,NY,https://stores.bestbuy.com/ny/bronx/402-e-fordham-rd-1891/geeksquad.html%3Fref%3DNS%26loc%3Dns100,+1 718-329-8788,NYC -  Electronics Repair Stores,Circular NYC.kml
Sterling Electronics Corporation,"337, Gun Hill, Rd, The Bronx, NY, 10467",The Bronx,NY,https://www.google.com/search?q=Sterling Electronics Corporation,+1 718-654-7700,NYC -  Electronics Repair Stores,Circular NYC.kml
Geek Squad,"610, Exterior, Street, The Bronx, NY, 10451",The Bronx,NY,https://stores.bestbuy.com/ny/bronx/610-exterior-street-1172/geeksquad.html%3Fref%3DNS%26loc%3Dns100,+1 718-402-2932,NYC -  Electronics Repair Stores,Circular NYC.kml
BX Electronics,"1588, Westchester, Ave, The Bronx, NY, 10472",The Bronx,NY,https://www.google.com/search?q=BX Electronics,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
