Name,Address,City,State,Website,Phone Number,Folder Name,Source File Name
CREATIVE REUSE,"1865, Lincoln, Hwy, E, Lancaster, PA, 17602, USA",Lancaster,PA,https://www.facebook.com/CreativeReuseAZ/,(717) 617-2977,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
LONG BEACH DEPOT FOR CREATIVE REUSE,"320, Elm, Ave, Long Beach, CA, 90802, USA",Long Beach,CA,http://thelongbeachdepot.org/,(562) 437-9999,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REDISCOVER CENTER INC,"12958, W, Washington, Blvd, Los Angeles, CA, 90066, USA",Los Angeles,CA,https://rediscovercenter.org/,(310) 393-3636,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
East Bay Depot for Creative Reuse Inc.,"4695, Telegraph, Ave, Oakland, CA, 94609, USA",Oakland,CA,http://creativereuse.org/,(510) 547-6470,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
The ReUse People of America,"9235, San Leandro, St, Oakland, CA, 94603, USA",Oakland,CA,http://thereusepeople.org/,(510) 383-1983,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REMAINDERS CREATIVE REUSE INC,"787, E, Washington, Blvd, suite, 101, Pasadena, CA, 91104, USA",Pasadena,CA,http://www.remainderspas.org/,(626) 529-5014,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
ART FORM FOUND OBJECTS RECYCLED MATERIALS,"33-00, Northern, Blvd, 3rd, Floor, Queens, NY, 11101, USA",Queens,NY,http://artformsandiego.org/,(718) 729-3001,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
FRIENDS OF SCRAP INC,"750, Enterprise, Way, Lancaster, PA, 17601, USA",Lancaster,PA,https://www.scrap-sf.org/,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
FABMO INC,"1240, Birchwood, Dr, # 2, Sunnyvale, CA, 94089, USA",Sunnyvale,CA,https://www.fabmo.org/,(650) 282-6548,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
ART PARTS CREATIVE REUSE CENTER,"3080, Valmont, Rd, Boulder, CO, 80301, USA",Boulder,CO,http://www.artpartsboulder.org/,(720) 379-5328,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
ECOWORKS INC,"89, State, St, North Haven, CT, 06473, USA",North Haven,CT,https://ecoworksct.org/,(203) 498-0710,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
